"","rep1-wt","rep1-prep","rep1-oop","rep1-triple","rep2-wt","rep2-prep","rep2-oop","rep2-triple","rep3-wt","rep3-prep","rep3-oop","rep3-triple"
"rep1-wt",1,0.967398236059275,0.979774897076206,0.97829113466073,0.977564153813383,0.946470425316103,0.972518944630625,0.966465383059355,0.966715944165452,0.972167839252543,0.966978237537624,0.963701434368011
"rep1-prep",0.967398236059275,1,0.969517269812164,0.966845066584641,0.966324089819403,0.972900377913939,0.962517644735314,0.971101169779566,0.940723851828226,0.953363949977191,0.932692517503432,0.955261828382835
"rep1-oop",0.979774897076206,0.969517269812164,1,0.979020641462864,0.98122226698696,0.933743441915077,0.986449394467472,0.95986014151154,0.97085999255352,0.972335562355203,0.973248075771268,0.952531751947002
"rep1-triple",0.97829113466073,0.966845066584641,0.979020641462864,1,0.966448679924887,0.944213243327526,0.97066644610563,0.97275618477468,0.967187946493141,0.97518075269286,0.965291138595422,0.973042455435125
"rep2-wt",0.977564153813383,0.966324089819403,0.98122226698696,0.966448679924887,1,0.956277767689352,0.983864027228213,0.968687758608376,0.970300563301715,0.974232120801323,0.968020900440338,0.9514347682142
"rep2-prep",0.946470425316103,0.972900377913939,0.933743441915077,0.944213243327526,0.956277767689352,1,0.939836923268072,0.968491220555405,0.92068743423728,0.938230603558189,0.905139534105096,0.952288072275435
"rep2-oop",0.972518944630625,0.962517644735314,0.986449394467472,0.97066644610563,0.983864027228213,0.939836923268072,1,0.962586795428634,0.978392645586929,0.97834063787012,0.975489005283628,0.957918673033527
"rep2-triple",0.966465383059355,0.971101169779566,0.95986014151154,0.97275618477468,0.968687758608376,0.968491220555405,0.962586795428634,1,0.960798107593137,0.970392937061846,0.944460080526449,0.979608706740783
"rep3-wt",0.966715944165452,0.940723851828226,0.97085999255352,0.967187946493141,0.970300563301715,0.92068743423728,0.978392645586929,0.960798107593137,1,0.991254324689433,0.989398128994628,0.963668536980809
"rep3-prep",0.972167839252543,0.953363949977191,0.972335562355203,0.97518075269286,0.974232120801323,0.938230603558189,0.97834063787012,0.970392937061846,0.991254324689433,1,0.98378754922596,0.972552802666389
"rep3-oop",0.966978237537624,0.932692517503432,0.973248075771268,0.965291138595422,0.968020900440338,0.905139534105096,0.975489005283628,0.944460080526449,0.989398128994628,0.98378754922596,1,0.946547225669234
"rep3-triple",0.963701434368011,0.955261828382835,0.952531751947002,0.973042455435125,0.9514347682142,0.952288072275435,0.957918673033527,0.979608706740783,0.963668536980809,0.972552802666389,0.946547225669234,1
