protein_id,wt_1,wt_2,k1_1,k1_2
AT3G24190.1,0.0,0.001067236,0.0,0.0
AT1G71810.1,0.014402304,0.020277481,0.0,0.0
AT4G31390.1,0.061609858,0.041622199,0.0,0.0
AT3G10130.1,0.025604097,0.03094984,0.025387493,0.031560929
AT3G27110.1,0.003200512,0.009605123,0.006680919,0.01069862
AT5G08740.1,0.052008321,0.036286019,0.065473009,0.039049963
AT2G34460.1,0.018402944,0.022411953,0.025387493,0.014443137
AT2G46910.1,0.014402304,0.013874066,0.013361839,0.009093827
AT1G78140.1,0.012802048,0.009605123,0.024051309,0.012303413
AT1G54570.1,0.028804609,0.022411953,0.032068413,0.027281481
AT1G06690.1,0.00800128,0.004268943,0.010689471,0.003744517
AT5G41120.1,0.00400064,0.007470651,0.0,0.006954103
AT1G28150.1,0.0,0.002134472,0.0,0.003209586
AT3G26840.1,0.008801408,0.014941302,0.005344735,0.008023965
AT1G79600.1,0.034405505,0.035218783,0.0,0.005884241
AT3G07700.1,0.000800128,0.001067236,0.0,0.001069862
AT2G42130.3,0.021603457,0.021344717,0.006680919,0.011233551
AT4G38970.1,0.128660586,0.081109925,0.167557456,0.071306301
AT3G43540.1,0.003200512,0.005336179,0.002672368,0.005884241
AT2G35490.1,0.064010242,0.025613661,0.096205238,0.029956136
AT3G58010.1,0.020803329,0.020277481,0.016034206,0.011768482
AT4G13200.1,0.019203072,0.033084312,0.025387493,0.033700653
AT4G22240.1,0.096015362,0.080256137,0.090593266,0.087835669
AT4G04020.1,0.083213314,0.097972252,0.108498129,0.170054563
AT3G23400.1,0.095215234,0.165421558,0.102886157,0.214507329
AT2G41040.1,0.023203713,0.021344717,0.024051309,0.02139724
AT4G32770.1,0.021603457,0.023479189,0.028059861,0.023002033
AT1G32220.1,0.022403585,0.011739594,0.032068413,0.009628758
AT5G05200.1,0.050408065,0.071504803,0.056119722,0.066331443
AT4G19170.1,0.060009602,0.068303095,0.03474078,0.07007596
