protein_id,STN,pVal
AT3G24190.1,8e-04,0.5523
AT1G71810.1,-3.1833,0
AT4G31390.1,-4.8443,0
AT3G10130.1,0.0171,0.5523
AT3G27110.1,0.3212,0.3073
AT5G08740.1,0.4473,0.2531
AT2G34460.1,-0.0516,0.5397
AT2G46910.1,-0.3622,0.2945
AT1G78140.1,0.8265,0.0901
AT1G54570.1,0.3576,0.2908
AT1G06690.1,0.1554,0.5152
AT5G41120.1,-0.3506,0.2945
AT1G28150.1,0.1343,0.5152
AT3G26840.1,-0.6985,0.1216
AT1G79600.1,-3.3119,0
AT3G07700.1,-0.1696,0.5192
AT2G42130.3,-1.4546,0.0251
AT4G38970.1,0.2341,0.4447
AT3G43540.1,0.0016,0.5523
AT2G35490.1,0.8795,0.0901
AT3G58010.1,-0.7426,0.1093
AT4G13200.1,0.2977,0.3322
AT4G22240.1,0.0265,0.5523
AT4G04020.1,0.7043,0.1154
AT3G23400.1,0.2672,0.382
AT2G41040.1,0.0447,0.5357
AT4G32770.1,0.2861,0.3322
AT1G32220.1,0.4067,0.266
AT5G05200.1,0.0113,0.5523
AT4G19170.1,-0.5209,0.2272
